"instancia";"dim";"config";"rep";"resultado"
25;110;1;21;56289,5895008214
25;110;1;22;55953,0412950256
25;110;1;23;44304,6242728598
25;110;1;24;43886,5211190947
25;110;1;25;39647,2353394974
25;110;1;26;38294,210542885
25;110;1;27;54883,7397469797
25;110;1;28;58488,4337333332
25;110;1;29;51684,3355016082
25;110;1;30;52544,2212332545
25;110;2;1;8053747,14881276
25;110;2;2;7506159,84619126
25;110;2;3;8419144,24119824
25;110;2;4;6599550,64019392
25;110;2;5;7544757,06802493
25;110;2;6;6780293,81442342
25;110;2;7;7991704,95339265
25;110;2;8;7639041,05875326
25;110;2;9;7841782,70838466
25;110;2;10;7783897,75161459
25;110;2;11;6598205,26776707
25;110;2;12;6443545,05897621
25;110;2;13;7919068,77469737
25;110;2;14;7593286,41798542
25;110;2;15;8646627,29546071
25;110;2;16;8081194,5136758
25;110;2;17;6435013,26942404
25;110;2;18;8259101,35678416
25;110;2;19;7028229,897433
25;110;2;20;8139583,5018101
25;110;2;21;7274460,54326115
25;110;2;22;8364472,97243143
25;110;2;23;7045578,8417503
25;110;2;24;7780469,38826891
25;110;2;25;7573129,87007567
25;110;2;26;6731460,6268203
25;110;2;27;7797023,79114723
25;110;2;28;6506723,30585778
25;110;2;29;7444133,50839485
25;110;2;30;8292911,29811399
26;114;1;1;36460,6075773694
26;114;1;2;55867,4459258552
26;114;1;3;33549,1807315684
26;114;1;4;48968,711019308
26;114;1;5;60499,9186679087
26;114;1;6;42195,5233318384
26;114;1;7;67511,5542928614
26;114;1;8;60630,2452935013
26;114;1;9;61406,8273093052
26;114;1;10;37737,8610391893
26;114;1;11;42466,5679693528
26;114;1;12;55429,7411508182
26;114;1;13;44627,6382018333
26;114;1;14;46821,5154586747
26;114;1;15;64888,0900745304
26;114;1;16;62999,5785019665
26;114;1;17;53091,2414248937
26;114;1;18;57829,6999317374
26;114;1;19;59651,1951949789
26;114;1;20;60605,437976274
26;114;1;21;68144,7683438987
26;114;1;22;47095,5396777073
26;114;1;23;54479,8761942253
26;114;1;24;62735,2606783093
26;114;1;25;60110,1156453521
26;114;1;26;62818,6898724152
26;114;1;27;67603,8681425446
26;114;1;28;51901,4920104038
26;114;1;29;69496,0835697935
26;114;1;30;65035,6760586494
26;114;2;1;7344014,93125369
26;114;2;2;8475200,08774121
26;114;2;3;8215102,37699939
26;114;2;4;8799958,59600917
26;114;2;5;8062528,31972481
26;114;2;6;8646159,57579161
26;114;2;7;8555178,64005348
26;114;2;8;7897484,36277798
26;114;2;9;8443106,87068941
26;114;2;10;8569063,6041076
26;114;2;11;8001888,04448135
26;114;2;12;8343829,71434272
26;114;2;13;8094368,80793521
26;114;2;14;8533650,185585
26;114;2;15;8136355,60444671
26;114;2;16;7917084,20428487
26;114;2;17;8408503,84676484
26;114;2;18;8466731,22926563
26;114;2;19;8082483,96042715
26;114;2;20;7895275,93353061
26;114;2;21;6457770,78612223
26;114;2;22;7779939,02420128
26;114;2;23;8742322,26178492
26;114;2;24;8265068,38122073
26;114;2;25;7921387,64848796
26;114;2;26;6386274,2983902
26;114;2;27;9033329,85057937
26;114;2;28;8356920,38950069
26;114;2;29;7704659,66096878
26;114;2;30;7643448,88449308
