"instancia";"dim";"config";"rep";"resultado"
3;11;1;29;6,80736465062054
3;11;1;30;6,32888108157034
3;11;2;1;6016,37721315987
3;11;2;2;8024,4578929944
3;11;2;3;20006,4735612694
3;11;2;4;468,46794045472
3;11;2;5;8772,21280403077
3;11;2;6;4426,29883884963
3;11;2;7;9206,40575578658
3;11;2;8;2743,90702114673
3;11;2;9;842,254617872726
3;11;2;10;4929,08083670797
3;11;2;11;6996,11565535458
3;11;2;12;2723,15681448817
3;11;2;13;11523,1569714545
3;11;2;14;3329,66154979562
3;11;2;15;5207,6686834711
3;11;2;16;12315,1975661415
3;11;2;17;1930,86612889861
3;11;2;18;6702,82361832587
3;11;2;19;7668,90993152907
3;11;2;20;22768,6938632765
3;11;2;21;6260,34947732366
3;11;2;22;1914,63193281663
3;11;2;23;5590,12718298525
3;11;2;24;2302,88273466903
3;11;2;25;1394,88150211116
3;11;2;26;10096,7300520012
3;11;2;27;5618,46409746887
3;11;2;28;3139,04654815247
3;11;2;29;14101,0833011074
3;11;2;30;9630,01552650059
4;15;1;1;13,6354576455306
4;15;1;2;14,6402330450354
4;15;1;3;13,9787947097282
4;15;1;4;14,4877871794231
4;15;1;5;16,5353823756212
4;15;1;6;14,3502603029366
4;15;1;7;13,9081661158922
4;15;1;8;13,0062068041936
4;15;1;9;14,2924420531755
4;15;1;10;15,0338997437208
4;15;1;11;12,8683415884307
4;15;1;12;13,9413843925838
4;15;1;13;13,9519325985656
4;15;1;14;11,2100950795058
4;15;1;15;17,2270131450349
4;15;1;16;15,6409848372327
4;15;1;17;11,7648816610797
4;15;1;18;13,4235622520243
4;15;1;19;16,4641245037781
4;15;1;20;13,3484386603476
4;15;1;21;14,1359278197967
4;15;1;22;12,7950487112224
4;15;1;23;13,7321154742665
4;15;1;24;14,9042997925958
4;15;1;25;12,317368593802
4;15;1;26;14,7375624654527
4;15;1;27;17,3427334209057
4;15;1;28;15,6399207659161
4;15;1;29;13,6586337357623
4;15;1;30;14,1973494726246
4;15;2;1;10530,4664588028
4;15;2;2;9347,29157934113
4;15;2;3;100822,49578156
4;15;2;4;24862,843385619
4;15;2;5;148215,850753704
4;15;2;6;17798,1303612327
4;15;2;7;27132,9269171878
4;15;2;8;19607,0051981833
4;15;2;9;7108,75834900408
4;15;2;10;15392,0902548534
4;15;2;11;19763,817024783
4;15;2;12;16748,7182371606
4;15;2;13;24555,9286247707
4;15;2;14;58366,2752252656
4;15;2;15;81607,0027552868
4;15;2;16;10383,2793044194
4;15;2;17;19448,6897428223
4;15;2;18;38532,998354713
4;15;2;19;30613,2470177875
4;15;2;20;17993,7150804152
4;15;2;21;14012,322561681
4;15;2;22;54726,7060561447
4;15;2;23;59706,6588493117
4;15;2;24;37693,8638241243
4;15;2;25;20177,7018042904
4;15;2;26;35543,9282426017
4;15;2;27;65478,4853686175
4;15;2;28;13681,0798740229
4;15;2;29;14190,6526721123
4;15;2;30;32454,7380937546
5;20;1;1;31,983748971432
5;20;1;2;32,7050555600689
5;20;1;3;35,4852787959851
5;20;1;4;38,1147237771267
5;20;1;5;34,9603023898803
5;20;1;6;69,242820818856
5;20;1;7;26,3834259701454
5;20;1;8;25,6549299539235
5;20;1;9;24,9367564675832
5;20;1;10;32,544480146852
5;20;1;11;30,2538482313463
5;20;1;12;25,1688291456704
5;20;1;13;36,5493516560132
5;20;1;14;37,8847157278018
5;20;1;15;35,6354130959979
5;20;1;16;51,7733324260538
5;20;1;17;31,8359137387794
5;20;1;18;29,3594503705788
5;20;1;19;33,7297053691288
5;20;1;20;41,8432777589335
5;20;1;21;29,5699834925991
5;20;1;22;63,7196793224886
5;20;1;23;33,9327792810609
5;20;1;24;48,8268701270938
5;20;1;25;30,952453688564
5;20;1;26;41,2729562670377
5;20;1;27;35,0797347619786
5;20;1;28;34,7511566397116
5;20;1;29;29,8209373719918
